TslName,Address,Offset,Size,Supported,JumpToNext
patch_name1,00 00,0,1,1,0
patch_name2,00 01,1,1,1,0
patch_name3,00 02,2,1,1,0
patch_name4,00 03,3,1,1,0
patch_name5,00 04,4,1,1,0
patch_name6,00 05,5,1,1,0
patch_name7,00 06,6,1,1,0
patch_name8,00 07,7,1,1,0
patch_name9,00 08,8,1,1,0
patch_name10,00 09,9,1,1,0
patch_name11,00 0A,10,1,1,0
patch_name12,00 0B,11,1,1,0
patch_name13,00 0C,12,1,1,0
patch_name14,00 0D,13,1,1,0
patch_name15,00 0E,14,1,1,0
patch_name16,00 0F,15,1,1,0
output_select,00 10,16,1,1,15
comp_on_off,00 20,32,1,0,0
comp_type,00 21,33,1,0,0
comp_sustain,00 22,34,1,0,0
comp_attack,00 23,35,1,0,0
comp_tone,00 24,36,1,0,0
comp_level,00 25,37,1,0,10
od_ds_on_off,00 30,48,1,1,0
od_ds_type,00 31,49,1,1,0
od_ds_drive,00 32,50,1,1,0
od_ds_bottom,00 33,51,1,1,0
od_ds_tone,00 34,52,1,1,0
od_ds_solo_sw,00 35,53,1,1,0
od_ds_solo_level,00 36,54,1,1,0
od_ds_effect_level,00 37,55,1,1,0
od_ds_direct_mix,00 38,56,1,1,0
od_ds_custom_type,00 39,57,1,1,0
od_ds_custom_bottom,00 3A,58,1,1,0
od_ds_custom_top,00 3B,59,1,1,0
od_ds_custom_low,00 3C,60,1,1,0
od_ds_custom_high,00 3D,61,1,1,0
od_ds_custom_character,00 3E,62,1,1,17
preamp_a_on_off,00 50,80,1,0,0
preamp_a_type,00 51,81,1,1,0
preamp_a_gain,00 52,82,1,1,0
preamp_a_t_comp,00 53,83,1,0,0
preamp_a_bass,00 54,84,1,1,0
preamp_a_middle,00 55,85,1,1,0
preamp_a_treble,00 56,86,1,1,0
preamp_a_presence,00 57,87,1,1,0
preamp_a_level,00 58,88,1,1,0
preamp_a_bright,00 59,89,1,1,0
preamp_a_gain_sw,00 5A,90,1,0,0
preamp_a_solo_sw,00 5B,91,1,0,0
preamp_a_solo_level,00 5C,92,1,0,0
preamp_a_sp_type,00 5D,93,1,0,0
preamp_a_mic_type,00 5E,94,1,0,0
preamp_a_mic_dis,00 5F,95,1,0,0
preamp_a_mic_pos,00 60,96,1,0,0
preamp_a_mic_level,00 61,97,1,0,0
preamp_a_direct_mix,00 62,98,1,1,0
preamp_a_custom_type,00 63,99,1,1,0
preamp_a_custom_bottom,00 64,100,1,1,0
preamp_a_custom_edge,00 65,101,1,1,2
preamp_a_custom_preamp_low,00 68,104,1,1,0
preamp_a_custom_preamp_high,00 69,105,1,1,0
preamp_a_custom_char,00 6A,106,1,1,0
preamp_a_custom_sp_size,00 6B,107,1,0,0
preamp_a_custom_sp_color_low,00 6C,108,1,0,0
preamp_a_custom_sp_color_high,00 6D,109,1,0,0
preamp_a_custom_sp_num,00 6E,110,1,0,0
preamp_a_custom_sp_cabinet,00 6F,111,1,0,16
preamp_b_on_off,01 00,128,1,0,0
preamp_b_type,01 01,129,1,0,0
preamp_b_gain,01 02,130,1,0,0
preamp_b_t_comp,01 03,131,1,0,0
preamp_b_bass,01 04,132,1,0,0
preamp_b_middle,01 05,133,1,0,0
preamp_b_treble,01 06,134,1,0,0
preamp_b_presence,01 07,135,1,0,0
preamp_b_level,01 08,136,1,0,0
preamp_b_bright,01 09,137,1,0,0
preamp_b_gain_sw,01 0A,138,1,0,0
preamp_b_solo_sw,01 0B,139,1,0,0
preamp_b_solo_level,01 0C,140,1,0,0
preamp_b_sp_type,01 0D,141,1,0,0
preamp_b_mic_type,01 0E,142,1,0,0
preamp_b_mic_dis,01 0F,143,1,0,0
preamp_b_mic_pos,01 10,144,1,0,0
preamp_b_mic_level,01 11,145,1,0,0
preamp_b_direct_mix,01 12,146,1,0,0
preamp_b_custom_type,01 13,147,1,0,0
preamp_b_custom_bottom,01 14,148,1,0,0
preamp_b_custom_edge,01 15,149,1,0,2
preamp_b_custom_preamp_low,01 18,152,1,0,0
preamp_b_custom_preamp_high,01 19,153,1,0,0
preamp_b_custom_char,01 1A,154,1,0,0
preamp_b_custom_sp_size,01 1B,155,1,0,0
preamp_b_custom_sp_color_low,01 1C,156,1,0,0
preamp_b_custom_sp_color_high,01 1D,157,1,0,0
preamp_b_custom_sp_num,01 1E,158,1,0,0
preamp_b_custom_sp_cabinet,01 1F,159,1,0,16
eq_on_off,01 30,176,1,0,0
eq_low_cut,01 31,177,1,0,0
eq_low_gain,01 32,178,1,0,0
eq_low_mid_freq,01 33,179,1,0,0
eq_low_mid_q,01 34,180,1,0,0
eq_low_mid_gain,01 35,181,1,0,0
eq_high_mid_freq,01 36,182,1,0,0
eq_high_mid_q,01 37,183,1,0,0
eq_high_mid_gain,01 38,184,1,0,0
eq_high_gain,01 39,185,1,0,0
eq_high_cut,01 3A,186,1,0,0
eq_level,01 3B,187,1,0,4
fx1_on_off,01 40,192,1,1,0
fx1_fx_type,01 41,193,1,1,0
fx1_sub_od_ds_type,01 42,194,1,1,0
fx1_sub_od_ds_drive,01 43,195,1,1,0
fx1_sub_od_ds_bottom,01 44,196,1,1,0
fx1_sub_od_ds_tone,01 45,197,1,1,0
fx1_sub_od_ds_solo_sw,01 46,198,1,1,0
fx1_sub_od_ds_solo_level,01 47,199,1,1,0
fx1_sub_od_ds_effect_level,01 48,200,1,1,0
fx1_sub_od_ds_direct_mix,01 49,201,1,1,2
fx1_t_wah_mode,01 4C,204,1,1,0
fx1_t_wah_polar,01 4D,205,1,1,0
fx1_t_wah_sens,01 4E,206,1,1,0
fx1_t_wah_freq,01 4F,207,1,1,0
fx1_t_wah_peak,01 50,208,1,1,0
fx1_t_wah_direct_mix,01 51,209,1,1,0
fx1_t_wah_effect_level,01 52,210,1,1,1
fx1_auto_wah_mode,01 54,212,1,1,0
fx1_auto_wah_freq,01 55,213,1,1,0
fx1_auto_wah_peak,01 56,214,1,1,0
fx1_auto_wah_rate,01 57,215,1,1,0
fx1_auto_wah_depth,01 58,216,1,1,0
fx1_auto_wah_direct_mix,01 59,217,1,1,0
fx1_auto_wah_effect_level,01 5A,218,1,1,1
fx1_sub_wah_type,01 5C,220,1,1,0
fx1_sub_wah_pedal_pos,01 5D,221,1,1,0
fx1_sub_wah_pedal_min,01 5E,222,1,1,0
fx1_sub_wah_pedal_max,01 5F,223,1,1,0
fx1_sub_wah_effect_level,01 60,224,1,1,0
fx1_sub_wah_direct_mix,01 61,225,1,1,1
fx1_adv_comp_type,01 63,227,1,1,0
fx1_adv_comp_sustain,01 64,228,1,1,0
fx1_adv_comp_attack,01 65,229,1,1,0
fx1_adv_comp_tone,01 66,230,1,1,0
fx1_adv_comp_level,01 67,231,1,1,1
fx1_limiter_type,01 69,233,1,1,0
fx1_limiter_attack,01 6A,234,1,1,0
fx1_limiter_thresh,01 6B,235,1,1,0
fx1_limiter_ratio,01 6C,236,1,1,0
fx1_limiter_release,01 6D,237,1,1,0
fx1_limiter_level,01 6E,238,1,1,1
fx1_graphic_eq_31hz,01 70,240,1,1,0
fx1_graphic_eq_62hz,01 71,241,1,1,0
fx1_graphic_eq_125hz,01 72,242,1,1,0
fx1_graphic_eq_250hz,01 73,243,1,1,0
fx1_graphic_eq_500hz,01 74,244,1,1,0
fx1_graphic_eq_1khz,01 75,245,1,1,0
fx1_graphic_eq_2khz,01 76,246,1,1,0
fx1_graphic_eq_4khz,01 77,247,1,1,0
fx1_graphic_eq_8khz,01 78,248,1,1,0
fx1_graphic_eq_16khz,01 79,249,1,1,0
fx1_graphic_eq_level,01 7A,250,1,1,1
fx1_parametric_eq_low_cut,01 7C,252,1,1,0
fx1_parametric_eq_low_gain,01 7D,253,1,1,0
fx1_parametric_eq_low_mid_freq,01 7E,254,1,1,0
fx1_parametric_eq_low_mid_q,01 7F,255,1,1,0
fx1_parametric_eq_low_mid_gain,02 00,256,1,1,0
fx1_parametric_eq_high_mid_freq,02 01,257,1,1,0
fx1_parametric_eq_high_mid_q,02 02,258,1,1,0
fx1_parametric_eq_high_mid_gain,02 03,259,1,1,0
fx1_parametric_eq_high_gain,02 04,260,1,1,0
fx1_parametric_eq_high_cut,02 05,261,1,1,0
fx1_parametric_eq_level,02 06,262,1,1,1
fx1_tone_modify_type,02 08,264,1,1,0
fx1_tone_modify_reso,02 09,265,1,1,0
fx1_tone_modify_low,02 0A,266,1,1,0
fx1_tone_modify_high,02 0B,267,1,1,0
fx1_tone_modify_level,02 0C,268,1,1,1
fx1_guitar_sim_type,02 0E,270,1,1,0
fx1_guitar_sim_low,02 0F,271,1,1,0
fx1_guitar_sim_high,02 10,272,1,1,0
fx1_guitar_sim_level,02 11,273,1,1,0
fx1_guitar_sim_body,02 12,274,1,1,1
fx1_slow_gear_sens,02 14,276,1,1,0
fx1_slow_gear_rise_time,02 15,277,1,1,0
fx1_slow_gear_level,02 16,278,1,1,1
fx1_defretter_tone,02 18,280,1,1,0
fx1_defretter_sens,02 19,281,1,1,0
fx1_defretter_attack,02 1A,282,1,1,0
fx1_defretter_depth,02 1B,283,1,1,0
fx1_defretter_reso,02 1C,284,1,1,0
fx1_defretter_effect_level,02 1D,285,1,1,0
fx1_defretter_direct_mix,02 1E,286,1,1,1
fx1_wave_synth_wave,02 20,288,1,1,0
fx1_wave_synth_cutoff,02 21,289,1,1,0
fx1_wave_synth_reso,02 22,290,1,1,0
fx1_wave_synth_filter_sens,02 23,291,1,1,0
fx1_wave_synth_filter_decay,02 24,292,1,1,0
fx1_wave_synth_filter_depth,02 25,293,1,1,0
fx1_wave_synth_synth_level,02 26,294,1,1,0
fx1_wave_synth_direct_mix,02 27,295,1,1,1
fx1_sitar_sim_tone,02 29,297,1,1,0
fx1_sitar_sim_sens,02 2A,298,1,1,0
fx1_sitar_sim_depth,02 2B,299,1,1,0
fx1_sitar_sim_reso,02 2C,300,1,1,0
fx1_sitar_sim_buzz,02 2D,301,1,1,0
fx1_sitar_sim_effect_level,02 2E,302,1,1,0
fx1_sitar_sim_direct_mix,02 2F,303,1,1,1
fx1_octave_range,02 31,305,1,1,0
fx1_octave_level,02 32,306,1,1,0
fx1_octave_direct_mix,02 33,307,1,1,1
fx1_pitch_shifter_voice,02 35,309,1,1,0
fx1_pitch_shifter_ps1mode,02 36,310,1,1,0
fx1_pitch_shifter_ps1pitch,02 37,311,1,1,0
fx1_pitch_shifter_ps1fine,02 38,312,1,1,0
fx1_pitch_shifter_ps1pre_dly,02 39,313,2,1,0
fx1_pitch_shifter_ps1level,02 3B,315,1,1,0
fx1_pitch_shifter_ps2mode,02 3C,316,1,1,0
fx1_pitch_shifter_ps2pitch,02 3D,317,1,1,0
fx1_pitch_shifter_ps2fine,02 3E,318,1,1,0
fx1_pitch_shifter_ps2pre_dly,02 3F,319,2,1,0
fx1_pitch_shifter_ps2level,02 41,321,1,1,0
fx1_pitch_shifter_ps1f_back,02 42,322,1,1,0
fx1_pitch_shifter_direct_mix,02 43,323,1,1,1
fx1_harmonist_voice,02 45,325,1,1,0
fx1_harmonist_hr1harm,02 46,326,1,1,0
fx1_harmonist_hr1pre_dly,02 47,327,2,1,0
fx1_harmonist_hr1level,02 49,329,1,1,0
fx1_harmonist_hr2harm,02 4A,330,1,1,0
fx1_harmonist_hr2pre_dly,02 4B,331,2,1,0
fx1_harmonist_hr2level,02 4D,333,1,1,0
fx1_harmonist_hr1f_back,02 4E,334,1,1,0
fx1_harmonist_direct_mix,02 4F,335,1,1,0
fx1_harmonist_hr1c,02 50,336,1,1,0
fx1_harmonist_hr1db,02 51,337,1,1,0
fx1_harmonist_hr1d,02 52,338,1,1,0
fx1_harmonist_hr1eb,02 53,339,1,1,0
fx1_harmonist_hr1e,02 54,340,1,1,0
fx1_harmonist_hr1f,02 55,341,1,1,0
fx1_harmonist_hr1f_s,02 56,342,1,1,0
fx1_harmonist_hr1g,02 57,343,1,1,0
fx1_harmonist_hr1ab,02 58,344,1,1,0
fx1_harmonist_hr1a,02 59,345,1,1,0
fx1_harmonist_hr1bb,02 5A,346,1,1,0
fx1_harmonist_hr1b,02 5B,347,1,1,0
fx1_harmonist_hr2c,02 5C,348,1,1,0
fx1_harmonist_hr2db,02 5D,349,1,1,0
fx1_harmonist_hr2d,02 5E,350,1,1,0
fx1_harmonist_hr2eb,02 5F,351,1,1,0
fx1_harmonist_hr2e,02 60,352,1,1,0
fx1_harmonist_hr2f,02 61,353,1,1,0
fx1_harmonist_hr2f_s,02 62,354,1,1,0
fx1_harmonist_hr2g,02 63,355,1,1,0
fx1_harmonist_hr2ab,02 64,356,1,1,0
fx1_harmonist_hr2a,02 65,357,1,1,0
fx1_harmonist_hr2bb,02 66,358,1,1,0
fx1_harmonist_hr2b,02 67,359,1,1,1
fx1_sound_hold_hold,02 69,361,1,1,0
fx1_sound_hold_rise_time,02 6A,362,1,1,0
fx1_sound_hold_effect_level,02 6B,363,1,1,1
fx1_ac_processor_type,02 6D,365,1,1,0
fx1_ac_processor_bass,02 6E,366,1,1,0
fx1_ac_processor_middle,02 6F,367,1,1,0
fx1_ac_processor_middle_freq,02 70,368,1,1,0
fx1_ac_processor_treble,02 71,369,1,1,0
fx1_ac_processor_presence,02 72,370,1,1,0
fx1_ac_processor_level,02 73,371,1,1,1
fx1_phaser_type,02 75,373,1,1,0
fx1_phaser_rate,02 76,374,1,1,0
fx1_phaser_depth,02 77,375,1,1,0
fx1_phaser_manual,02 78,376,1,1,0
fx1_phaser_reso,02 79,377,1,1,0
fx1_phaser_step_rate,02 7A,378,1,1,0
fx1_phaser_effect_level,02 7B,379,1,1,0
fx1_phaser_direct_mix,02 7C,380,1,1,1
fx1_flanger_rate,02 7E,382,1,1,0
fx1_flanger_depth,02 7F,383,1,1,0
fx1_flanger_manual,03 00,384,1,1,0
fx1_flanger_reso,03 01,385,1,1,0
fx1_flanger_separation,03 02,386,1,1,0
fx1_flanger_low_cut,03 03,387,1,1,0
fx1_flanger_effect_level,03 04,388,1,1,0
fx1_flanger_direct_mix,03 05,389,1,1,1
fx1_tremolo_wave_shape,03 07,391,1,1,0
fx1_tremolo_rate,03 08,392,1,1,0
fx1_tremolo_depth,03 09,393,1,1,0
fx1_tremolo_level,03 0A,394,1,1,1
fx1_rotary_speed_select,03 0C,396,1,1,0
fx1_rotary_rate_slow,03 0D,397,1,1,0
fx1_rotary_rate_fast,03 0E,398,1,1,0
fx1_rotary_rise_time,03 0F,399,1,1,0
fx1_rotary_fall_time,03 10,400,1,1,0
fx1_rotary_depth,03 11,401,1,1,0
fx1_rotary_level,03 12,402,1,1,1
fx1_uni_v_rate,03 14,404,1,1,0
fx1_uni_v_depth,03 15,405,1,1,0
fx1_uni_v_level,03 16,406,1,1,1
fx1_pan_type,03 18,408,1,1,0
fx1_pan_pos,03 19,409,1,1,0
fx1_pan_wave_shape,03 1A,410,1,1,0
fx1_pan_rate,03 1B,411,1,1,0
fx1_pan_depth,03 1C,412,1,1,0
fx1_pan_level,03 1D,413,1,1,1
fx1_slicer_pattern,03 1F,415,1,1,0
fx1_slicer_rate,03 20,416,1,1,0
fx1_slicer_trigger_sens,03 21,417,1,1,0
fx1_slicer_effect_level,03 22,418,1,1,0
fx1_slicer_direct_mix,03 23,419,1,1,1
fx1_vibrato_rate,03 25,421,1,1,0
fx1_vibrato_depth,03 26,422,1,1,0
fx1_vibrato_trigger,03 27,423,1,1,0
fx1_vibrato_rise_time,03 28,424,1,1,0
fx1_vibrato_level,03 29,425,1,1,1
fx1_ring_mod_mode,03 2B,427,1,1,0
fx1_ring_mod_freq,03 2C,428,1,1,0
fx1_ring_mod_effect_level,03 2D,429,1,1,0
fx1_ring_mod_direct_mix,03 2E,430,1,1,1
fx1_humanizer_mode,03 30,432,1,1,0
fx1_humanizer_vowel1,03 31,433,1,1,0
fx1_humanizer_vowel2,03 32,434,1,1,0
fx1_humanizer_sens,03 33,435,1,1,0
fx1_humanizer_rate,03 34,436,1,1,0
fx1_humanizer_depth,03 35,437,1,1,0
fx1_humanizer_manual,03 36,438,1,1,0
fx1_humanizer_level,03 37,439,1,1,1
fx1_2x2_chorus_xover_freq,03 39,441,1,1,0
fx1_2x2_chorus_low_rate,03 3A,442,1,1,0
fx1_2x2_chorus_low_depth,03 3B,443,1,1,0
fx1_2x2_chorus_low_pre_delay,03 3C,444,1,1,0
fx1_2x2_chorus_low_level,03 3D,445,1,1,0
fx1_2x2_chorus_high_rate,03 3E,446,1,1,0
fx1_2x2_chorus_high_depth,03 3F,447,1,1,0
fx1_2x2_chorus_high_pre_delay,03 40,448,1,1,0
fx1_2x2_chorus_high_level,03 41,449,1,1,0
fx1_2x2_chorus_direct_level,03 42,450,1,1,0
fx1_sub_delay_type,03 43,451,1,1,0
fx1_sub_delay_time,03 44,452,2,1,0
fx1_sub_delay_f_back,03 46,454,1,1,0
fx1_sub_delay_high_cut,03 47,455,1,1,0
fx1_sub_delay_effect_level,03 48,456,1,1,0
fx1_sub_delay_direct_mix,03 49,457,1,1,0
fx1_sub_delay_tap_time,03 4A,458,1,1,1
fx2_on_off,03 4C,460,1,1,0
fx2_fx_type,03 4D,461,1,1,0
fx2_sub_od_ds_type,03 4E,462,1,1,0
fx2_sub_od_ds_drive,03 4F,463,1,1,0
fx2_sub_od_ds_bottom,03 50,464,1,1,0
fx2_sub_od_ds_tone,03 51,465,1,1,0
fx2_sub_od_ds_solo_sw,03 52,466,1,1,0
fx2_sub_od_ds_solo_level,03 53,467,1,1,0
fx2_sub_od_ds_effect_level,03 54,468,1,1,0
fx2_sub_od_ds_direct_mix,03 55,469,1,1,2
fx2_t_wah_mode,03 58,472,1,1,0
fx2_t_wah_polar,03 59,473,1,1,0
fx2_t_wah_sens,03 5A,474,1,1,0
fx2_t_wah_freq,03 5B,475,1,1,0
fx2_t_wah_peak,03 5C,476,1,1,0
fx2_t_wah_direct_mix,03 5D,477,1,1,0
fx2_t_wah_effect_level,03 5E,478,1,1,1
fx2_auto_wah_mode,03 60,480,1,1,0
fx2_auto_wah_freq,03 61,481,1,1,0
fx2_auto_wah_peak,03 62,482,1,1,0
fx2_auto_wah_rate,03 63,483,1,1,0
fx2_auto_wah_depth,03 64,484,1,1,0
fx2_auto_wah_direct_mix,03 65,485,1,1,0
fx2_auto_wah_effect_level,03 66,486,1,1,1
fx2_sub_wah_type,03 68,488,1,1,0
fx2_sub_wah_pedal_pos,03 69,489,1,1,0
fx2_sub_wah_pedal_min,03 6A,490,1,1,0
fx2_sub_wah_pedal_max,03 6B,491,1,1,0
fx2_sub_wah_effect_level,03 6C,492,1,1,0
fx2_sub_wah_direct_mix,03 6D,493,1,1,1
fx2_adv_comp_type,03 6F,495,1,1,0
fx2_adv_comp_sustain,03 70,496,1,1,0
fx2_adv_comp_attack,03 71,497,1,1,0
fx2_adv_comp_tone,03 72,498,1,1,0
fx2_adv_comp_level,03 73,499,1,1,1
fx2_limiter_type,03 75,501,1,1,0
fx2_limiter_attack,03 76,502,1,1,0
fx2_limiter_thresh,03 77,503,1,1,0
fx2_limiter_ratio,03 78,504,1,1,0
fx2_limiter_release,03 79,505,1,1,0
fx2_limiter_level,03 7A,506,1,1,1
fx2_graphic_eq_31hz,03 7C,508,1,1,0
fx2_graphic_eq_62hz,03 7D,509,1,1,0
fx2_graphic_eq_125hz,03 7E,510,1,1,0
fx2_graphic_eq_250hz,03 7F,511,1,1,0
fx2_graphic_eq_500hz,04 00,512,1,1,0
fx2_graphic_eq_1khz,04 01,513,1,1,0
fx2_graphic_eq_2khz,04 02,514,1,1,0
fx2_graphic_eq_4khz,04 03,515,1,1,0
fx2_graphic_eq_8khz,04 04,516,1,1,0
fx2_graphic_eq_16khz,04 05,517,1,1,0
fx2_graphic_eq_level,04 06,518,1,1,1
fx2_parametric_eq_low_cut,04 08,520,1,1,0
fx2_parametric_eq_low_gain,04 09,521,1,1,0
fx2_parametric_eq_low_mid_freq,04 0A,522,1,1,0
fx2_parametric_eq_low_mid_q,04 0B,523,1,1,0
fx2_parametric_eq_low_mid_gain,04 0C,524,1,1,0
fx2_parametric_eq_high_mid_freq,04 0D,525,1,1,0
fx2_parametric_eq_high_mid_q,04 0E,526,1,1,0
fx2_parametric_eq_high_mid_gain,04 0F,527,1,1,0
fx2_parametric_eq_high_gain,04 10,528,1,1,0
fx2_parametric_eq_high_cut,04 11,529,1,1,0
fx2_parametric_eq_level,04 12,530,1,1,1
fx2_tone_modify_type,04 14,532,1,1,0
fx2_tone_modify_reso,04 15,533,1,1,0
fx2_tone_modify_low,04 16,534,1,1,0
fx2_tone_modify_high,04 17,535,1,1,0
fx2_tone_modify_level,04 18,536,1,1,1
fx2_guitar_sim_type,04 1A,538,1,1,0
fx2_guitar_sim_low,04 1B,539,1,1,0
fx2_guitar_sim_high,04 1C,540,1,1,0
fx2_guitar_sim_level,04 1D,541,1,1,0
fx2_guitar_sim_body,04 1E,542,1,1,1
fx2_slow_gear_sens,04 20,544,1,1,0
fx2_slow_gear_rise_time,04 21,545,1,1,0
fx2_slow_gear_level,04 22,546,1,1,1
fx2_defretter_tone,04 24,548,1,1,0
fx2_defretter_sens,04 25,549,1,1,0
fx2_defretter_attack,04 26,550,1,1,0
fx2_defretter_depth,04 27,551,1,1,0
fx2_defretter_reso,04 28,552,1,1,0
fx2_defretter_effect_level,04 29,553,1,1,0
fx2_defretter_direct_mix,04 2A,554,1,1,1
fx2_wave_synth_wave,04 2C,556,1,1,0
fx2_wave_synth_cutoff,04 2D,557,1,1,0
fx2_wave_synth_reso,04 2E,558,1,1,0
fx2_wave_synth_filter_sens,04 2F,559,1,1,0
fx2_wave_synth_filter_decay,04 30,560,1,1,0
fx2_wave_synth_filter_depth,04 31,561,1,1,0
fx2_wave_synth_synth_level,04 32,562,1,1,0
fx2_wave_synth_direct_mix,04 33,563,1,1,1
fx2_sitar_sim_tone,04 35,565,1,1,0
fx2_sitar_sim_sens,04 36,566,1,1,0
fx2_sitar_sim_depth,04 37,567,1,1,0
fx2_sitar_sim_reso,04 38,568,1,1,0
fx2_sitar_sim_buzz,04 39,569,1,1,0
fx2_sitar_sim_effect_level,04 3A,570,1,1,0
fx2_sitar_sim_direct_mix,04 3B,571,1,1,1
fx2_octave_range,04 3D,573,1,1,0
fx2_octave_level,04 3E,574,1,1,0
fx2_octave_direct_mix,04 3F,575,1,1,1
fx2_pitch_shifter_voice,04 41,577,1,1,0
fx2_pitch_shifter_ps1mode,04 42,578,1,1,0
fx2_pitch_shifter_ps1pitch,04 43,579,1,1,0
fx2_pitch_shifter_ps1fine,04 44,580,1,1,0
fx2_pitch_shifter_ps1pre_dly,04 45,581,2,1,0
fx2_pitch_shifter_ps1level,04 47,583,1,1,0
